SEGMENTO,CIUDAD,UID,CANCEL_PREV,PESO,USD_SUBTOTAL,DESCUENTOS,CORTESIA,FALTANTES,PQRs,DEMORA,VOLVIO
Restaurante,BOG,001A3beZXUbwRsjHvrdJUPqHRmX2,0,82.4,56.15,0,1,0,0,5,1
Restaurante,BOG,001rRSk6sob6iN4mQHdRczU0Ynp2,0,5.0,15.15,0,0,0,0,6,1
Hogar,BOG,009RfUy5UIVAdvnvWeR01sAyCLk2,0,79.4,80.6,0,0,0,0,7,0
Restaurante,CMX,00GrI29h5KcLlDVKIlfFfDPQAqd2,0,4.25,3.68,0,1,0,0,5,0
Restaurante,CMX,00KvH6PXE1couCpEEhu4ufHgWzj2,0,79.75,27.2,0,1,0,0,6,1
Restaurante,BOG,00TdDi6TENW3r0SlWRrgCH8Lbsk2,0,20.2,27.04,0,0,0,0,10,1
Hogar,BOG,00i4BgYQtSf215a7v9HC0G10lro1,0,57.6,47.21,0,0,0,0,8,1
Comercio,BOG,00ndvTUq4IPEmeOb3Olj7vFEF983,0,14.0,19.16,0,0,0,0,8,1
Comercio,BAQ,00uGMzlnHuRIRgtvLvaoHoQJExl2,0,51.0,35.05,0,0,1,1,7,1
Comercio,CMX,01SY7X9MftRU8amn1PBNSXjG4Ym1,0,7.0,24.08,0,0,0,0,6,0
Hogar,BOG,01mT9aPtM8YIy2pqMcB54VVLizi2,0,31.0,40.69,0,0,0,0,5,0
Comercio,BOG,021r2LPqSYRugVsrBvnDnFMB9js2,0,3.0,4.32,0,0,0,0,8,1
Restaurante,BOG,02FcWsfqlIf5pwMBefuLv6dnax32,0,10.5,12.07,0,1,0,0,5,0
Restaurante,CMX,02OjkHcRIwd2JCLYXHU0RV0hlVL2,0,56.5,34.26,0,0,0,0,8,1
Hogar,BOG,02fstpHhdKfHUaoe8llFc2LSglG2,0,37.1,30.66,0,0,0,0,6,0
Comercio,BOG,02jwspCdr4ZNyIaYERg0iw5DWPW2,0,37.5,27.81,0,0,0,0,9,1
Restaurante,BOG,033bCI4lHpeJ7l2qJliP7W5h3lI3,0,23.0,17.9,0,0,0,0,8,1
Restaurante,BOG,034ubbt3iGT3JaIGpjeOcMeCTIy1,0,10.4,34.3,0,0,0,0,6,1
Restaurante,BOG,035TE0PJaRYpG3RgZQ02mkXTI9M2,0,6.0,13.86,0,0,0,0,10,1
Hogar,BOG,03Dk5gjjeIY2VXW0RB2LTX0GQT02,0,53.6,48.16,0,0,0,0,9,1
Restaurante,BOG,03JotnCNlgT1rdPkR000renLy2j1,0,6.0,10.65,0,1,0,0,7,1
Restaurante,BOG,03bDyojBAYYCSZ9DWJwTMAPhfb72,0,32.0,21.8,0,0,1,0,6,1
Comercio,BAQ,045Ok71iuNVU8RpGHDS3KIaL2py1,0,20.5,17.98,0,0,0,0,8,0
Hogar,CMX,048ucegnGxPzcHRsqhk1zc6nvxR2,0,44.5,50.25,0,0,0,0,10,0
Hogar,BOG,04ARObyZHCWDmFA8Lm8BohgtIrY2,0,30.3,27.54,0,0,1,0,11,1
Hogar,BOG,04DJJoyXTudMPHVJbakN7m4LRZ03,0,34.2,29.65,0,0,0,0,8,0
Restaurante,BOG,04IgPPeCZgh0kMm9IxmM7k0FgiD3,0,2.0,5.48,0,1,0,0,8,1
Líderes de Comunidad,BOG,04gc0CdTT1OTepcxborHKSaJ2r92,0,56.0,66.15,0,0,2,0,10,1
Hogar,BOG,04hXakPGg2hlgVBPjp8hN2wdY342,0,21.0,25.91,0,0,0,0,5,0
Hogar,BAQ,04kjVQcggAO40Xfa9rXC6vCSi8Y2,0,61.7,44.86,0,0,0,0,10,1
Restaurante,CMX,04sUWxcujsTCjrSBYO2ZLpgQttI2,0,18.0,23.08,1,1,0,0,7,1
Hogar,BOG,054Zc3MQ7dVgBPKLdTQmHkF6zTA3,0,96.7,62.76,0,0,0,0,4,1
Restaurante,BOG,05NNssH8PEhBl8cV9ubFkGCppND3,0,49.0,47.88,0,0,2,0,10,1
Hogar,BOG,05qpbkyxCJM8Grm52t4oDaj6zwa2,1,10.0,14.25,0,0,0,0,8,1
Restaurante,BOG,05qrYKOrQQZir3cKoTWzspI8gxo1,0,67.0,41.57,0,0,0,3,10,1
Hogar,BOG,05w7wgcEEpbV4SVVkPOLdMVEWi53,0,24.7,27.77,0,0,0,0,7,1
Hogar,CMX,06A7rbBQ4RRfaQLe4hMPDySru3o1,0,29.4,37.17,0,0,0,0,6,1
Hogar,BOG,06MCMjXdGdNMlKeCBg8ZVZ7EASM2,0,23.6,18.75,0,0,1,0,9,1
Hogar,BOG,06PnM0xi9QeeaGbmF0UnjXuxpdX2,0,20.9,25.38,0,0,0,0,5,1
Restaurante,CMX,06XVyjVnFGUvIjSD7kSqQ1gPUNV2,0,48.25,59.86,0,0,0,1,6,1
Institución,BAQ,06Z4wEIApBQZW3n2ESbui8FMeQV2,0,8.5,15.92,0,0,0,0,5,0
Restaurante,CMX,06hnDAlklHV9ZBZxvTKmZMtoc1g2,0,49.8,31.05,0,0,0,0,6,1
Hogar,BAQ,06urPySlkJNjFdzPCaPw8EBhAe43,0,39.5,42.49,0,0,1,0,8,1
Restaurante,BOG,070t6Yc2bzSpJc5EYawbLlvLlGv1,0,2.0,8.14,0,0,0,0,7,1
Hogar,BOG,074x0gel7QgswsYuNvwcxrbanJb2,0,32.0,30.3,0,0,0,0,9,1
Comercio,BOG,07Bit28UZmW2U19523BV09TSDqK2,0,32.0,55.15,0,0,0,0,10,1
Restaurante,BOG,07FGdOMWFVREJKU0MQi6HXoQ0wx1,0,30.5,14.87,0,0,0,1,6,0
Hogar,BOG,07Ka7l4rLkXlvWE79CLQ7KPfFl33,0,46.1,28.38,0,0,2,0,4,1
Hogar,BOG,07RsHSi70oXsiCGcUfaOO7Cc2cR2,0,29.5,28.43,0,0,0,0,11,0
