Numero de Identificación,Score,Edad,Balance,NumProducto,TarjetaCredito,EsunMienbroActivo,Salario,GeneroCODE,Departamento_Bogotá,Departamento_Santander,Rotación,SalarioSTD,SalarioMinMax
15762332,568,31,61592.14,2,1,1,61796.64,1,0,1,0,-0.6880777264212758,0.30895480518389506
15785352,606,37,82373.94,1,0,0,172526.9,0,0,0,1,1.2389577564201883,0.8626589839329655
15699257,651,42,143145.87,2,1,0,43612.06,0,1,0,0,-1.0045434413989995,0.21802322121762624
15754926,512,30,0.0,2,1,0,88827.31,1,0,0,0,-0.21766376536872994,0.4441210635615701
15754105,650,37,106967.18,1,0,0,24495.03,0,0,0,0,-1.3372365565108466,0.12242894196395754
15624755,707,40,109628.44,1,1,0,189366.03,1,0,1,0,1.5320086443182226,0.9468626753854993
15624186,813,25,123616.43,1,0,1,132959.33,1,0,1,0,0.5503644905883059,0.6648022386137875
15644833,675,54,0.0,1,1,0,149583.67,0,0,0,1,0.839677394385522,0.7479318774943007
15791944,697,32,175464.85,3,1,0,116442.42,0,0,0,1,0.26292118794547836,0.5822098010359988
15781678,470,31,55732.92,2,1,1,103792.53,0,1,0,0,0.04277552149403674,0.518954310136618
15761132,682,46,128029.72,1,1,1,62615.35,0,1,0,0,-0.6738297401873671,0.3130487461552578
15663168,665,35,110934.54,1,1,0,169287.99,0,0,0,0,1.1825911002258467,0.846462887205728
15700383,763,35,115651.6,2,1,1,104706.29,1,0,0,0,0.05867766010367431,0.5235235464986906
15707968,545,36,73211.12,2,1,0,89587.34,0,1,0,1,-0.20443698546209924,0.4479215765105567
15608845,804,38,124197.22,1,1,0,74692.06,1,1,0,0,-0.46365910854623904,0.3734380633350485
15601030,777,34,96693.66,1,1,1,172618.52,1,0,1,0,1.2405522166060303,0.8631171276856938
15641170,640,36,0.0,1,0,0,173016.46,0,1,0,0,1.2474775548111598,0.8651070177201922
15632859,444,36,0.0,2,0,1,138743.86,0,0,0,0,0.6510324973423851,0.6937276509906695
15742323,541,39,0.0,2,1,0,19823.02,0,0,0,0,-1.418543410176594,0.09906666086611271
15585928,821,31,68927.57,1,1,1,25445.0,1,0,1,0,-1.320704256328088,0.1271792456179565
15764284,714,27,0.0,3,1,1,129130.09,0,1,0,0,0.48372433863421654,0.6456542099770528
15608541,498,46,91857.66,1,1,0,101954.78,0,0,0,1,0.010793211883349463,0.5097646825271813
15617082,516,33,115195.58,1,1,1,11205.5,0,0,0,0,-1.5685138592128012,0.05597494560730549
15811026,505,43,136855.94,2,1,0,171070.52,0,0,1,0,1.2136124177882672,0.8553763884450964
15595324,579,39,117833.3,3,0,0,5831.0,1,0,1,1,-1.6620461258446273,0.029099879038448167
15712960,613,37,171653.17,1,0,1,5353.12,0,1,0,0,-1.670362657536509,0.02671025082895416
15582892,601,46,99786.07,1,1,1,32683.88,0,0,0,1,-1.1947262389728373,0.16337710251329002
15667392,652,38,123081.84,2,1,1,188657.97,1,1,0,0,1.519686296804718,0.9433220372545578
15660866,640,29,0.0,2,1,0,2743.69,1,0,0,0,-1.7157744916637927,0.01366185470712453
15723685,601,26,105514.69,2,1,0,50070.59,1,0,1,0,-0.8921458323172898,0.25031895546024646
15763612,756,41,124439.49,2,0,1,47093.11,0,0,1,0,-0.9439628298521172,0.23543013357775666
15804709,688,35,111578.18,1,0,0,166165.93,0,0,1,1,1.128257981170947,0.8308510962796947
15576644,687,29,78939.15,1,1,0,122134.56,1,0,1,1,0.36198133422618983,0.6106732192924423
15738980,506,43,0.0,2,1,0,105568.6,0,0,0,0,0.07368441586500862,0.5278355082910418
