MUNI_ID_DPTO;NOMBRE_DPTO;MUNI_ID_MPIO;NOMBRE_MPIO
05;ANTIOQUIA;001;MEDELLIN
08;ATLANTICO;001;BARRANQUILLA
11;BOGOTA, D.C.;001;BOGOTA, D.C.
13;BOLIVAR;001;CARTAGENA DE INDIAS
15;BOYACA;001;TUNJA
17;CALDAS;001;MANIZALES
18;CAQUETA;001;FLORENCIA
19;CAUCA;001;POPAYAN
20;CESAR;001;VALLEDUPAR
23;CORDOBA;001;MONTERIA
25;CUNDINAMARCA;001;AGUA DE DIOS
27;CHOCO;001;QUIBDO
41;HUILA;001;NEIVA
44;LA GUAJIRA;001;RIOHACHA
47;MAGDALENA;001;SANTA MARTA
50;META;001;VILLAVICENCIO
52;NARINO;001;PASTO
54;NORTE DE SANTANDER;001;CUCUTA
63;QUINDIO;001;ARMENIA
66;RISARALDA;001;PEREIRA
68;SANTANDER;001;BUCARAMANGA
70;SUCRE;001;SINCELEJO
73;TOLIMA;001;IBAGUE
76;VALLE DEL CAUCA;001;CALI
81;ARAUCA;001;ARAUCA
85;CASANARE;001;YOPAL
86;PUTUMAYO;001;MOCOA
88;ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;001;SAN ANDRES
91;AMAZONAS;001;LETICIA
94;GUAINIA;001;INIRIDA
95;GUAVIARE;001;SAN JOSE DEL GUAVIARE
97;VAUPES;001;MITU
99;VICHADA;001;PUERTO CARRENO
05;ANTIOQUIA;002;ABEJORRAL
54;NORTE DE SANTANDER;003;ABREGO
05;ANTIOQUIA;004;ABRIAQUI
13;BOLIVAR;006;ACHI
27;CHOCO;006;ACANDI
41;HUILA;006;ACEVEDO
50;META;006;ACACIAS
85;CASANARE;010;AGUAZUL
20;CESAR;011;AGUACHICA
17;CALDAS;013;AGUADAS
20;CESAR;013;AGUSTIN CODAZZI
41;HUILA;013;AGRADO
68;SANTANDER;013;AGUADA
85;CASANARE;015;CHAMEZA
95;GUAVIARE;015;CALAMAR
41;HUILA;016;AIPE
25;CUNDINAMARCA;019;ALBAN
52;NARINO;019;ALBAN
41;HUILA;020;ALGECIRAS
68;SANTANDER;020;ALBANIA
76;VALLE DEL CAUCA;020;ALCALA
05;ANTIOQUIA;021;ALEJANDRIA
15;BOYACA;022;ALMEIDA
19;CAUCA;022;ALMAGUER
52;NARINO;022;ALDANA
73;TOLIMA;024;ALPUJARRA
27;CHOCO;025;ALTO BAUDO
95;GUAVIARE;025;EL RETORNO
41;HUILA;026;ALTAMIRA
73;TOLIMA;026;ALVARADO
18;CAQUETA;029;ALBANIA
05;ANTIOQUIA;030;AMAGA
13;BOLIVAR;030;ALTOS DEL ROSARIO
47;MAGDALENA;030;ALGARROBO
73;TOLIMA;030;AMBALEMA
05;ANTIOQUIA;031;AMALFI
20;CESAR;032;ASTREA
05;ANTIOQUIA;034;ANDES
25;CUNDINAMARCA;035;ANAPOIMA
44;LA GUAJIRA;035;ALBANIA
05;ANTIOQUIA;036;ANGELOPOLIS
52;NARINO;036;ANCUYA
76;VALLE DEL CAUCA;036;ANDALUCIA
05;ANTIOQUIA;038;ANGOSTURA
05;ANTIOQUIA;040;ANORI
25;CUNDINAMARCA;040;ANOLAIMA
76;VALLE DEL CAUCA;041;ANSERMANUEVO
05;ANTIOQUIA;042;SANTA FE DE ANTIOQUIA
13;BOLIVAR;042;ARENAL
17;CALDAS;042;ANSERMA
73;TOLIMA;043;ANZOATEGUI
05;ANTIOQUIA;044;ANZA
05;ANTIOQUIA;045;APARTADO
20;CESAR;045;BECERRIL
66;RISARALDA;045;APIA
15;BOYACA;047;AQUITANIA
17;CALDAS;050;ARANZAZU
19;CAUCA;050;ARGELIA
27;CHOCO;050;ATRATO
05;ANTIOQUIA;051;ARBOLETES
15;BOYACA;051;ARCABUCO
52;NARINO;051;ARBOLEDA
54;NORTE DE SANTANDER;051;ARBOLEDAS
68;SANTANDER;051;ARATOCA
13;BOLIVAR;052;ARJONA
25;CUNDINAMARCA;053;ARBELAEZ
47;MAGDALENA;053;ARACATACA
76;VALLE DEL CAUCA;054;ARGELIA
05;ANTIOQUIA;055;ARGELIA
73;TOLIMA;055;ARMERO
47;MAGDALENA;058;ARIGUANI
05;ANTIOQUIA;059;ARMENIA
20;CESAR;060;BOSCONIA
13;BOLIVAR;062;ARROYOHONDO
81;ARAUCA;065;ARAUQUITA
73;TOLIMA;067;ATACO
23;CORDOBA;068;AYAPEL
27;CHOCO;073;BAGADO
13;BOLIVAR;074;BARRANCO DE LOBA
19;CAUCA;075;BALBOA
27;CHOCO;075;BAHIA SOLANO
66;RISARALDA;075;BALBOA
27;CHOCO;077;BAJO BAUDO
68;SANTANDER;077;BARBOSA
08;ATLANTICO;078;BARANOA
41;HUILA;078;BARAYA
44;LA GUAJIRA;078;BARRANCAS
05;ANTIOQUIA;079;BARBOSA
23;CORDOBA;079;BUENAVISTA
52;NARINO;079;BARBACOAS
68;SANTANDER;079;BARICHARA
68;SANTANDER;081;BARRANCABERMEJA
52;NARINO;083;BELEN
05;ANTIOQUIA;086;BELMIRA
25;CUNDINAMARCA;086;BELTRAN
15;BOYACA;087;BELEN
05;ANTIOQUIA;088;BELLO
17;CALDAS;088;BELALCAZAR
66;RISARALDA;088;BELEN DE UMBRIA
15;BOYACA;090;BERBEO
23;CORDOBA;090;CANALETE
44;LA GUAJIRA;090;DIBULLA
05;ANTIOQUIA;091;BETANIA
15;BOYACA;092;BETEITIVA
